id,name,block,status,ivDev,ivEvaluation,missingDev,missingEvaluation,psi
notifications,Notificações na semana de origem,Histórico,ok,2.471213116608989,3.305405092603472,0.0,0.0,0.17886767145026
lag_1,Notificações: defasagem de 1 semana(s),Histórico,ok,2.1431733369432724,2.5970805860319053,0.004878048780487805,0.0,0.18021646678190234
lag_2,Notificações: defasagem de 2 semana(s),Histórico,ok,1.7616966225411033,1.948795156974123,0.00975609756097561,0.0,0.19885445756309572
lag_4,Notificações: defasagem de 4 semana(s),Histórico,ok,1.1632975245223132,1.2739152216692056,0.01951219512195122,0.0,0.2809711140117835
lag_8,Notificações: defasagem de 8 semana(s),Histórico,ok,0.4708839391087591,0.48317961740476534,0.03902439024390244,0.0,0.3205927375071137
lag_13,Notificações: defasagem de 13 semana(s),Histórico,ok,0.25056817523369035,0.3298578066885432,0.06341463414634146,0.0,0.36449740534484687
lag_52,Notificações: defasagem de 52 semana(s),Histórico,ok,0.2915432115977239,0.16967351551082357,0.25365853658536586,0.0,1.6946974575969995
rolling_4_mean,Média nas últimas 4 semanas,Histórico,ok,2.20625893314567,2.567990088554219,0.014634146341463415,0.0,0.19436546555295126
rolling_4_sum,Soma nas últimas 4 semanas,Histórico,ok,2.20625893314567,2.567990088554219,0.014634146341463415,0.0,0.19436546555295126
rolling_4_std,Desvio padrão nas últimas 4 semanas,Histórico,ok,1.8758930959271067,1.9014355058144434,0.014634146341463415,0.0,0.11307431072589101
rolling_4_max,Máximo nas últimas 4 semanas,Histórico,ok,2.1542500821322497,3.121360066716307,0.014634146341463415,0.0,0.184822672114808
rolling_8_mean,Média nas últimas 8 semanas,Histórico,ok,1.6470641414665144,1.825158579180426,0.03414634146341464,0.0,0.26659431008572243
rolling_8_sum,Soma nas últimas 8 semanas,Histórico,ok,1.6470641414665144,1.825158579180426,0.03414634146341464,0.0,0.26659431008572243
rolling_8_std,Desvio padrão nas últimas 8 semanas,Histórico,ok,2.0356757069559643,2.303344093399528,0.03414634146341464,0.0,0.18451257977840912
rolling_8_max,Máximo nas últimas 8 semanas,Histórico,ok,1.944033203571445,2.4495999064143557,0.03414634146341464,0.0,0.22921490718670626
change_1,Variação semanal,Dinâmica,ok,1.0214398321206792,0.8352523590573991,0.004878048780487805,0.0,0.024207295762844246
growth_1,Crescimento semanal regularizado,Dinâmica,ok,0.18931692407788325,0.09438877412690912,0.004878048780487805,0.0,0.07601285150343963
acceleration,Aceleração semanal,Dinâmica,ok,0.7693157918073488,0.7979763569764543,0.00975609756097561,0.0,0.03977217283661422
change_4,Inclinação em quatro semanas,Dinâmica,ok,1.5588602120378336,2.178939343173382,0.01951219512195122,0.0,0.08061068790620546
seasonal_difference,Diferença ante 52 semanas,Dinâmica,ok,1.2006078377812415,2.9315424191592827,0.25365853658536586,0.0,1.5558261680720011
rain,Chuva na semana de origem,Clima,ok,0.023701998421478403,0.22276258069002297,0.4029268292682927,0.4230769230769231,0.13607541984337862
rain_lag4,Chuva: defasagem de quatro semanas,Clima,ok,0.08218403964872664,0.2234604993342972,0.4117073170731707,0.4576923076923077,0.16962447183829715
rain_mean4,Chuva: média de quatro semanas,Clima,ok,0.09568761999421221,0.6144509393255702,0.4117073170731707,0.4576923076923077,0.15869090480047238
temperature,Temperatura na semana de origem,Clima,ok,0.09699374232005309,0.16932573578161986,0.4029268292682927,0.4230769230769231,0.017001260787757374
temperature_lag4,Temperatura: defasagem de quatro semanas,Clima,ok,0.29655949288175043,0.13075274764683012,0.4117073170731707,0.4576923076923077,0.03033028841955431
temperature_mean4,Temperatura: média de quatro semanas,Clima,ok,0.19099013531321987,0.3310659074126548,0.4117073170731707,0.4576923076923077,0.0379136285580458
humidity,Umidade na semana de origem,Clima,ok,0.09282177841735846,0.4461369766985652,0.4029268292682927,0.4230769230769231,0.0399076145015571
humidity_lag4,Umidade: defasagem de quatro semanas,Clima,ok,0.16425900468709367,0.5021617812269639,0.4117073170731707,0.4576923076923077,0.03721138168460225
humidity_mean4,Umidade: média de quatro semanas,Clima,ok,0.16707824937710258,1.1080138690871957,0.4117073170731707,0.4576923076923077,0.03766747140116434
wind,Vento na semana de origem,Clima,ok,0.08234788007489971,0.22298084853108602,0.42634146341463414,0.4346153846153846,0.09715565831037137
wind_lag4,Vento: defasagem de quatro semanas,Clima,ok,0.11164535054507128,0.2520986723598112,0.4351219512195122,0.46923076923076923,0.10568556240680307
wind_mean4,Vento: média de quatro semanas,Clima,ok,0.2303228336784644,0.13268615031994435,0.4380487804878049,0.4807692307692308,0.22129389766664218
reporters,CNES notificantes ativos,Rede notificante,ok,2.0392760661484455,2.0294438871472007,0.0,0.0,0.2686239523030171
reporter_hhi,Concentração entre notificantes (HHI),Rede notificante,ok,1.0267248988409439,0.9036223327044347,0.02048780487804878,0.0,0.26741236366657256
reporter_top_share,Participação do maior notificante,Rede notificante,ok,0.7579550743904223,1.2240339290298594,0.02048780487804878,0.0,0.2791358419847093
avs_ivs_mean,IVS: média entre UDHs,Socioeconômico / território,ok,0.0024739126989841227,2.7140726936065587,0.0,0.0,0.0019306271197702246
avs_ivs_iqr,IVS: intervalo interquartil entre UDHs,Socioeconômico / território,ok,0.0024739126989841227,2.7140726936065587,0.0,0.0,0.0019306271197702246
avs_idhm_mean,IDHM: média entre UDHs,Socioeconômico / território,ok,0.0024739126989841227,2.714072693606559,0.0,0.0,0.0019306271197702246
avs_idhm_iqr,IDHM: intervalo interquartil entre UDHs,Socioeconômico / território,ok,0.0024739126989841227,2.7140726936065587,0.0,0.0,0.0019306271197702246
avs_renda_per_capita_mean,Renda per capita: média entre UDHs,Socioeconômico / território,ok,0.0024739126989841227,2.7140726936065587,0.0,0.0,0.0019306271197702246
avs_renda_per_capita_iqr,Renda per capita: intervalo interquartil entre UDHs,Socioeconômico / território,ok,0.0024739126989841227,2.7140726936065587,0.0,0.0,0.0019306271197702246
avs_proporcao_sem_agua_esgoto_mean,Sem água/esgoto adequados: média entre UDHs,Socioeconômico / território,ok,0.0024739126989841227,2.7140726936065587,0.0,0.0,0.0019306271197702246
avs_proporcao_sem_agua_esgoto_iqr,Sem água/esgoto adequados: intervalo interquartil entre UDHs,Socioeconômico / território,ok,0.0024739126989841227,2.7140726936065587,0.0,0.0,0.0019306271197702246
calendar_sin,Calendário: seno anual,Calendário,ok,1.4090912988699922,0.05055529851660773,0.0,0.0,0.007558846460499117
calendar_cos,Calendário: cosseno anual,Calendário,ok,0.09803010341794459,0.03209980000101657,0.0,0.0,0.004085982449388761
